model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL,ctx_used,inference_time_s_median,inference_time_s_mean,inference_time_s_std,perf_repeats,peak_alloc_mb_median,peak_alloc_mb_max,peak_reserved_mb_median,peak_reserved_mb_max
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets_extra,ETTh,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTh,2.5964113264387865,,,14,a06554384ee004c7,False,0.7.0,2.5964113264387865,0.3511337823944026,8192,0.14928436279296875,0.15101752281188965,0.00345169634999926,5,960.0810546875,960.0810546875,1076.0,1076.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets_extra,ETTm,24,1,-96,24,1,,96,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTm,2.3645500504768946,,,14,eb7409291613303b,False,0.7.0,2.3645500504768946,0.32010992342044703,8192,0.16875457763671875,0.17410540580749512,0.012431463483087752,5,960.0810546875,960.0810546875,1076.0,1076.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,dominick,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],dominick,2.750608229118859,,,100014,ab1a8018332665ab,False,0.7.0,2.750608229118859,0.9968880738819901,193,53.78852844238281,53.849139070510866,0.2877764169678051,5,906.83056640625,906.83056640625,952.0,952.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,ercot,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],ercot,6.2320501847163605,,,8,95b91121d95f89c8,False,0.7.0,6.2320501847163605,0.25775587345262774,8192,0.13973188400268555,0.1455909252166748,0.0103901921886518,5,842.79052734375,842.79052734375,930.0,930.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,exchange_rate,30,1,-30,30,1,,5,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],exchange_rate,10.512761679407678,,,8,a8476b6fa723f5ed,False,0.7.0,10.512761679407678,0.135704924641069,7558,0.09951472282409668,0.10055603981018066,0.0029340829876163014,5,836.65869140625,836.65869140625,876.0,876.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,m4_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_quarterly,2.3607293631300608,,,24000,97b166b18d38e710,False,0.7.0,2.3607293631300608,0.15981309712951697,16,9.535582780838013,9.556983470916748,0.14291003571593025,5,738.71044921875,738.71044921875,772.0,772.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,m4_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_yearly,8.355947072891865,,,23000,020f5777849c9c62,False,0.7.0,8.355947072891865,0.31708021560884597,13,8.965219736099243,9.028759813308715,0.12418794216548819,5,738.70751953125,738.70751953125,772.0,772.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,m5,28,1,-28,28,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m5,1.0974179437317217,,,30490,78a5b1db66dfb76c,False,0.7.0,1.0974179437317217,0.7838391422712938,96,19.437649488449097,19.497946643829344,0.2939132219098531,5,822.3642578125,822.3642578125,890.0,890.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_australian_electricity,48,1,-48,48,1,,48,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_australian_electricity,1.739490717466588,,,5,c3fa76db06a6f37a,False,0.7.0,1.739490717466588,0.12938728215363912,8192,0.1273174285888672,0.13089189529418946,0.00890798960995493,5,788.8369140625,788.8369140625,820.0,820.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_car_parts,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_car_parts,1.1567427591806418,,,2674,1ba8c4719a51b23c,False,0.7.0,1.1567427591806418,1.6144254799769913,39,1.1106717586517334,1.1442697525024415,0.07963706916277048,5,765.41162109375,765.41162109375,788.0,788.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_cif_2016,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_cif_2016,1.5442067325515376,,,72,89203c02fafca301,False,0.7.0,1.5442067325515376,0.01922578726224513,16,0.09209752082824707,0.0943105697631836,0.00488930573614906,5,705.1552734375,705.1552734375,732.0,732.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_covid_deaths,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_covid_deaths,152.1709875985186,,,266,6cdf94c2ac2fae09,False,0.7.0,152.1709875985186,0.6928555587127005,182,0.21683168411254883,0.21915216445922853,0.006355091551706797,5,907.234375,907.234375,952.0,952.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_fred_md,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_fred_md,15.23755748929312,,,107,a508fc699f3f3683,False,0.7.0,15.23755748929312,0.6339806112878601,716,0.13717126846313477,0.13695788383483887,0.003919587090331398,5,899.4228515625,899.4228515625,964.0,964.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_hospital,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_hospital,1.0054746681722335,,,767,e364316542f2f5c7,False,0.7.0,1.0054746681722335,0.11149932893994421,72,0.3279907703399658,0.374513578414917,0.10312060445221895,5,794.12255859375,794.12255859375,832.0,832.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_m1_monthly,18,1,-18,18,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_monthly,1.652991766027864,,,617,88d42195e0f8e7cc,False,0.7.0,1.652991766027864,0.23014840690597277,30,0.3061330318450928,0.30764451026916506,0.007940751493820003,5,766.1923828125,766.1923828125,788.0,788.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_m1_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_quarterly,2.4152039891333836,,,203,5dd7170c16393209,False,0.7.0,2.4152039891333836,0.15031057786149243,10,0.1247715950012207,0.12981147766113282,0.008665994669517455,5,725.21533203125,725.21533203125,752.0,752.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_m1_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_yearly,7.8236095751498365,,,181,bd7efdf4c711a830,False,0.7.0,7.8236095751498365,0.29923796842047135,9,0.1172182559967041,0.1183194637298584,0.0029508278096788713,5,721.08203125,721.08203125,732.0,732.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_m3_monthly,18,1,-18,18,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_monthly,1.524623215846213,,,1428,372532bc65a1f203,False,0.7.0,1.524623215846213,0.18422954831488553,48,0.6200478076934814,0.6628424644470214,0.09837607455770153,5,779.51806640625,779.51806640625,806.0,806.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_m3_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_quarterly,2.2772453054263484,,,756,6401670c504aa82b,False,0.7.0,2.2772453054263484,0.14735789784245754,16,0.3286471366882324,0.33246698379516604,0.008238390657152182,5,738.71044921875,738.71044921875,766.0,766.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_m3_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_yearly,6.6574018997499556,,,645,d607d91b11bbe4a1,False,0.7.0,6.6574018997499556,0.31971106361287105,14,0.3030250072479248,0.30748677253723145,0.009158003424568843,5,738.70849609375,738.70849609375,768.0,768.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_nn5_weekly,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_nn5_weekly,1.2049922717955546,,,111,480088d6b89d7100,False,0.7.0,1.2049922717955546,0.1416228541376756,105,0.10224103927612305,0.10761561393737792,0.011039119440782053,5,737.0029296875,737.0029296875,744.0,744.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_tourism_monthly,24,1,-24,24,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_monthly,3.3680888865985983,,,366,3ce75ace84bef572,False,0.7.0,3.3680888865985983,0.3447490608495952,67,0.21564364433288574,0.21819443702697755,0.01183450640481641,5,806.09033203125,806.09033203125,836.0,836.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_tourism_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_quarterly,3.7698040170099545,,,427,f34c4184775eda7e,False,0.7.0,3.7698040170099545,0.260751102480078,22,0.2159252166748047,0.22387347221374512,0.014700295675536865,5,751.7744140625,751.7744140625,770.0,770.0
amazon/chronos-2__sparse_r8_c256,autogluon/chronos_datasets,monash_tourism_yearly,4,1,-4,4,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_yearly,4.027514700229344,,,518,7c477aee96f482c4,False,0.7.0,4.027514700229344,0.26692773419202753,7,0.27467846870422363,0.3251845359802246,0.09686980545981565,5,738.70166015625,738.70166015625,766.0,766.0
