task_name,radius,MASE_full,inference_time_s_median_full,peak_alloc_mb_median_full,peak_reserved_mb_median_full,MASE_sparse,inference_time_s_median_sparse,peak_alloc_mb_median_sparse,peak_reserved_mb_median_sparse,delta_metric,speedup,delta_peak_alloc_mb,delta_peak_reserved_mb
ETTh,128,2.59605987416031,0.1500554084777832,731.43701171875,850.0,2.596295216247454,0.15059185028076172,959.1728515625,1082.0,0.00023534208714437455,0.9964377766660123,227.73583984375,232.0
ETTm,128,2.364943023754417,0.1723494529724121,731.43701171875,850.0,2.3650345099577055,0.17096209526062012,959.1728515625,1082.0,9.148620328858215e-05,1.008115001805968,227.73583984375,232.0
dominick,128,2.750351174789211,51.78958439826965,678.04638671875,726.0,2.7498329360603084,54.19520545005798,907.54931640625,956.0,-0.0005182387289024426,0.9556119211688355,229.5029296875,230.0
ercot,128,6.231536014153341,0.13844513893127441,613.2578125,692.0,6.234106866968439,0.14017820358276367,842.75927734375,898.0,0.002570852815098057,0.9876367038013436,229.50146484375,206.0
exchange_rate,128,10.532351268995672,0.09632539749145508,607.12451171875,656.0,10.538475019364258,0.10027885437011719,836.62744140625,908.0,0.00612375036858559,0.9605753685211602,229.5029296875,252.0
m4_quarterly,128,2.360896672075202,9.089157104492188,508.32080078125,534.0,2.360705027992241,9.459766387939453,738.55419921875,784.0,-0.0001916440829612398,0.9608225755004091,230.2333984375,250.0
m4_yearly,128,8.356756018865507,8.564846277236938,508.31787109375,536.0,8.355531662482765,8.961270332336426,738.55126953125,784.0,-0.0012243563827425419,0.9557625157597349,230.2333984375,248.0
m5,128,1.0973088274164127,18.403263807296753,593.10546875,652.0,1.0972164695561792,19.27950954437256,822.9580078125,862.0,-9.23578602334274e-05,0.9545504134812615,229.8525390625,210.0
monash_australian_electricity,128,1.7400412713174045,0.1206965446472168,559.13427734375,584.0,1.7416929328698543,0.1237952709197998,789.0263671875,818.0,0.001651661552449779,0.9749689446974876,229.89208984375,234.0
monash_car_parts,128,1.1565122520654152,1.0531413555145264,535.86767578125,568.0,1.156480696088116,1.0793988704681396,766.03662109375,800.0,-3.1555977299202453e-05,0.975673946238034,230.1689453125,232.0
monash_cif_2016,128,1.5448584090075006,0.08958101272583008,474.998046875,496.0,1.5447219227326696,0.09234142303466797,705.4052734375,784.0,-0.00013648627483098252,0.9701064785648631,230.4072265625,288.0
monash_covid_deaths,128,152.19011917252217,0.20659708976745605,678.4501953125,726.0,152.21084320845304,0.21823596954345703,907.953125,958.0,0.020724035930868467,0.9466683709365181,229.5029296875,232.0
monash_fred_md,128,15.240111933068956,0.12954378128051758,669.8935546875,746.0,15.241130753037861,0.13440799713134766,900.240234375,980.0,0.0010188199689054045,0.9638100711665496,230.3466796875,234.0
monash_hospital,128,1.005553101920136,0.32128334045410156,564.20556640625,594.0,1.0055743179768333,0.3359873294830322,793.46630859375,822.0,2.1216056697248575e-05,0.9562364775732615,229.2607421875,228.0
monash_m1_monthly,128,1.653162569322656,0.28911375999450684,538.0234375,566.0,1.6531875363795216,0.3153402805328369,766.4423828125,800.0,2.4967056865721204e-05,0.9168310483709389,228.4189453125,234.0
monash_m1_quarterly,128,2.4152895817705238,0.11858367919921875,495.88037109375,516.0,2.4150496795929217,0.1269230842590332,725.4892578125,784.0,-0.00023990217760205823,0.9342956002960436,229.60888671875,268.0
monash_m1_yearly,128,7.823621692340843,0.12407588958740234,491.2470703125,514.0,7.823549555750504,0.11771965026855469,721.67431640625,784.0,-7.213659033844522e-05,1.053994717996079,230.42724609375,270.0
monash_m3_monthly,128,1.5246537067337476,0.5988705158233643,550.10009765625,566.0,1.5246706205787444,0.6363880634307861,778.83056640625,816.0,1.691384499680204e-05,0.9410461167276398,228.73046875,250.0
monash_m3_quarterly,128,2.277312775941073,0.327864408493042,508.32080078125,528.0,2.2772958179064315,0.3339250087738037,738.55419921875,778.0,-1.6958034641412212e-05,0.9818504151485489,230.2333984375,250.0
monash_m3_yearly,128,6.658090041408068,0.3021714687347412,508.31884765625,532.0,6.657130544213753,0.30234861373901367,738.55224609375,780.0,-0.0009594971943149844,0.9994141034679082,230.2333984375,248.0
monash_nn5_weekly,128,1.2058974161731506,0.10514235496520996,508.14404296875,528.0,1.205914016708387,0.10280251502990723,738.59423828125,776.0,1.6600535236444003e-05,1.022760532022218,230.4501953125,248.0
monash_tourism_monthly,128,3.368125138373573,0.19821739196777344,576.64306640625,598.0,3.368366662741606,0.20917272567749023,805.77783203125,848.0,0.00024152436803293043,0.947625419737523,229.134765625,250.0
monash_tourism_quarterly,128,3.77069334091202,0.20923113822937012,522.7294921875,540.0,3.770389231221489,0.21779847145080566,752.5869140625,778.0,-0.00030410969053118464,0.9606639423850564,229.857421875,238.0
monash_tourism_yearly,128,4.027677272176361,0.26255202293395996,508.31201171875,528.0,4.027262186212375,0.2945587635040283,738.54541015625,778.0,-0.00041508596398642794,0.8913400498110434,230.2333984375,250.0
monash_traffic,128,1.8785260285784005,11.485063552856445,7511.93701171875,8840.0,1.8780444693712006,11.369309663772583,7740.95166015625,9092.0,-0.00048155920719983314,1.010181259241509,229.0146484375,252.0
monash_weather,128,1.9213171677915795,8.659080743789673,1632.8681640625,1826.0,1.9206145813637798,8.800797462463379,1863.140625,2116.0,-0.0007025864277996341,0.9838972866631521,230.2724609375,290.0
nn5,128,1.0434529387435418,0.1442863941192627,696.5146484375,824.0,1.043409364590889,0.14862346649169922,926.01025390625,1074.0,-4.357415265276998e-05,0.9708183877363757,229.49560546875,250.0
