radius,n_tasks,metric,mean_delta_metric,median_delta_metric,max_abs_delta_metric,mean_speedup,median_speedup,metric_full_mean,metric_sparse_mean,p_value
8,27,MASE,-0.001649712277481158,-8.559263714014165e-05,0.0018297994116566363,0.9733795992391661,0.9658457112381468,9.212415506828783,9.210765794551303,0.10753117933792
16,27,MASE,3.845104997034404e-05,-9.07801399736563e-05,0.000748688390837083,0.9648144207225623,0.959966036838366,9.212415506828783,9.212453957878758,0.8873933151326647
32,27,MASE,0.00036523485503554186,8.922616292261765e-06,0.0006467875984295944,0.9666012528109669,0.9606737076714358,9.212415506828783,9.21278074168382,0.2889539879728622
64,27,MASE,-0.0006418743819473013,-0.0001168114772678,0.000914113228485589,0.9686553083587591,0.9614771971606636,9.212415506828783,9.211773632446837,0.2210184415252556
128,27,MASE,0.0010113748904493683,-3.1555977299202453e-05,0.0014136007234890763,0.9696924239068694,0.9638100711665496,9.212415506828783,9.213426881719233,0.2195446291587501
