task_name,radius,MASE_full,inference_time_s_median_full,peak_alloc_mb_median_full,peak_reserved_mb_median_full,MASE_sparse,inference_time_s_median_sparse,peak_alloc_mb_median_sparse,peak_reserved_mb_median_sparse,delta_metric,speedup,delta_peak_alloc_mb,delta_peak_reserved_mb
ETTh,16,2.59605987416031,0.1500554084777832,731.43701171875,850.0,2.596735438167356,0.1520833969116211,959.9228515625,1094.0,0.0006755640070461588,0.9866652871054925,228.48583984375,244.0
ETTm,16,2.364943023754417,0.1723494529724121,731.43701171875,850.0,2.3658038647469946,0.17327046394348145,959.9228515625,1094.0,0.0008608409925776606,0.9946845472095592,228.48583984375,244.0
dominick,16,2.750351174789211,51.78958439826965,678.04638671875,726.0,2.7503878916472,54.231616258621216,909.14306640625,954.0,3.671685798911639e-05,0.9549703285864479,231.0966796875,228.0
ercot,16,6.231536014153341,0.13844513893127441,613.2578125,692.0,6.234621037531459,0.1394336223602295,843.50927734375,930.0,0.0030850233781176684,0.9929107240260795,230.25146484375,238.0
exchange_rate,16,10.532351268995672,0.09632539749145508,607.12451171875,656.0,10.53711062395375,0.09951376914978027,836.58056640625,876.0,0.004759354958077111,0.9679604974711961,229.4560546875,220.0
m4_quarterly,16,2.360896672075202,9.089157104492188,508.32080078125,534.0,2.3607719888095002,9.511600017547607,738.64794921875,762.0,-0.0001246832657018082,0.9555865561760303,230.3271484375,228.0
m4_yearly,16,8.356756018865507,8.564846277236938,508.31787109375,536.0,8.355525054213713,8.95143175125122,738.64501953125,762.0,-0.0012309646517945083,0.9568130010084425,230.3271484375,226.0
m5,16,1.0973088274164127,18.403263807296753,593.10546875,652.0,1.097329040661695,19.469898223876953,822.2080078125,880.0,2.021324528223012e-05,0.9452162304951276,229.1025390625,228.0
monash_australian_electricity,16,1.7400412713174045,0.1206965446472168,559.13427734375,584.0,1.7411423790190375,0.1233375072479248,787.8173828125,834.0,0.001101107701632964,0.9785875143771203,228.68310546875,250.0
monash_car_parts,16,1.1565122520654152,1.0531413555145264,535.86767578125,568.0,1.1565516661191422,1.1071445941925049,766.97412109375,798.0,3.94140537269827e-05,0.9512229577227302,231.1064453125,230.0
monash_cif_2016,16,1.5448584090075006,0.08958101272583008,474.998046875,496.0,1.5441306635683005,0.09326052665710449,705.9677734375,762.0,-0.0007277454392000671,0.9605458593987672,230.9697265625,266.0
monash_covid_deaths,16,152.19011917252217,0.20659708976745605,678.4501953125,726.0,152.18669403928888,0.21433186531066895,909.546875,956.0,-0.003425133233292854,0.9639121530902486,231.0966796875,230.0
monash_fred_md,16,15.240111933068956,0.12954378128051758,669.8935546875,746.0,15.23966098789346,0.13603687286376953,900.146484375,978.0,-0.0004509451754959315,0.9522696203862736,230.2529296875,232.0
monash_hospital,16,1.005553101920136,0.32128334045410156,564.20556640625,594.0,1.0054958874834456,0.3497936725616455,793.46630859375,822.0,-5.721443669037818e-05,0.918493859826697,229.2607421875,228.0
monash_m1_monthly,16,1.653162569322656,0.28911375999450684,538.0234375,566.0,1.6530049250534422,0.30870985984802246,767.3798828125,798.0,-0.0001576442692137192,0.9365225980693886,229.3564453125,232.0
monash_m1_quarterly,16,2.4152895817705238,0.11858367919921875,495.88037109375,516.0,2.41519880163055,0.12356281280517578,726.072265625,762.0,-9.07801399736563e-05,0.9597036236637981,230.19189453125,246.0
monash_m1_yearly,16,7.823621692340843,0.12407588958740234,491.2470703125,514.0,7.823655281907199,0.11545133590698242,722.21044921875,762.0,3.358956635679533e-05,1.0747029353334516,230.96337890625,248.0
monash_m3_monthly,16,1.5246537067337476,0.5988705158233643,550.10009765625,566.0,1.5246584087834405,0.6297900676727295,779.23681640625,814.0,4.702049692939525e-06,0.9509049865400028,229.13671875,248.0
monash_m3_quarterly,16,2.277312775941073,0.327864408493042,508.32080078125,528.0,2.2771532256154616,0.3437511920928955,738.64794921875,756.0,-0.00015955032561132398,0.9537840625275265,230.3271484375,228.0
monash_m3_yearly,16,6.658090041408068,0.3021714687347412,508.31884765625,532.0,6.657005238477625,0.3147730827331543,738.64599609375,760.0,-0.0010848029304426632,0.9599660368383659,230.3271484375,228.0
monash_nn5_weekly,16,1.2058974161731506,0.10514235496520996,508.14404296875,528.0,1.2054435909139714,0.10659074783325195,738.44189453125,756.0,-0.0004538252591792524,0.9864116454994027,230.2978515625,228.0
monash_tourism_monthly,16,3.368125138373573,0.19821739196777344,576.64306640625,598.0,3.3679886166175503,0.2256624698638916,807.02783203125,846.0,-0.00013652175602274497,0.8783799631694553,230.384765625,248.0
monash_tourism_quarterly,16,3.77069334091202,0.20923113822937012,522.7294921875,540.0,3.7700886620776055,0.21703004837036133,752.2119140625,768.0,-0.0006046788344145071,0.9640652978721067,229.482421875,228.0
monash_tourism_yearly,16,4.027677272176361,0.26255202293395996,508.31201171875,528.0,4.02725377281908,0.27809596061706543,738.63916015625,756.0,-0.000423499357281365,0.944105848755893,230.3271484375,228.0
monash_traffic,16,1.8785260285784005,11.485063552856445,7511.93701171875,8840.0,1.878068841848901,11.381820440292358,7741.70166015625,9086.0,-0.00045718672949934813,1.0090708786969262,229.7646484375,246.0
monash_weather,16,1.9213171677915795,8.659080743789673,1632.8681640625,1826.0,1.9213270234319804,8.795369386672974,1863.052734375,2094.0,9.855640400902033e-06,0.984504500392012,230.1845703125,268.0
nn5,16,1.0434529387435418,0.1442863941192627,696.5146484375,824.0,1.0434499104456545,0.14905190467834473,926.76025390625,1052.0,-3.0282978873419353e-06,0.9680278452706388,230.24560546875,228.0
