radius,metric_col,chunk_size,backend,n,mean_delta,sd_delta,t,p,test,mean_speedup,median_speedup,mean_delta_peak_alloc_mb,mean_delta_peak_reserved_mb
8,MASE,256,flash,27,-0.0016497122774811726,0.005142477779715807,-1.6669311593751603,0.10753117933792,ttest_rel,0.9733795992391661,0.9658457112381468,229.50853587962962,231.11111111111111
16,MASE,256,flash,27,3.845104997033553e-05,0.0013971935429233887,0.14299916963610537,0.8873933151326647,ttest_rel,0.9648144207225623,0.9599660368383659,229.9960033275463,236.88888888888889
32,MASE,256,flash,27,0.0003652348550355406,0.0017531261052122187,1.0825324950711952,0.2889539879728622,ttest_rel,0.9666012528109669,0.9606737076714358,229.63319227430554,236.37037037037038
64,MASE,256,flash,27,-0.0006418743819473144,0.002659820122770712,-1.2539483765370307,0.2210184415252556,ttest_rel,0.9686553083587591,0.9614771971606637,229.8980396412037,240.14814814814815
128,MASE,256,flash,27,0.0010113748904493635,0.004177207480966886,1.2580792577860405,0.21954462915875012,ttest_rel,0.9696924239068694,0.9638100711665496,229.62917751736111,244.66666666666666
