task_name,radius,MASE_full,inference_time_s_median_full,peak_alloc_mb_median_full,peak_reserved_mb_median_full,MASE_sparse,inference_time_s_median_sparse,peak_alloc_mb_median_sparse,peak_reserved_mb_median_sparse,delta_metric,speedup,delta_peak_alloc_mb,delta_peak_reserved_mb
ETTh,8,2.59605987416031,0.1500554084777832,731.43701171875,850.0,2.5964113264387865,0.14928436279296875,960.0810546875,1076.0,0.0003514522784766605,1.0051649460826901,228.64404296875,226.0
ETTm,8,2.364943023754417,0.1723494529724121,731.43701171875,850.0,2.3645500504768946,0.16875457763671875,960.0810546875,1076.0,-0.0003929732775223016,1.0213023870880238,228.64404296875,226.0
dominick,8,2.750351174789211,51.78958439826965,678.04638671875,726.0,2.750608229118859,53.78852844238281,906.83056640625,952.0,0.00025705432964828745,0.9628369821224169,228.7841796875,226.0
ercot,8,6.231536014153341,0.13844513893127441,613.2578125,692.0,6.2320501847163605,0.13973188400268555,842.79052734375,930.0,0.0005141705630196114,0.9907913281167353,229.53271484375,238.0
exchange_rate,8,10.532351268995672,0.09632539749145508,607.12451171875,656.0,10.512761679407678,0.09951472282409668,836.65869140625,876.0,-0.019589589587994283,0.9679512212652284,229.5341796875,220.0
m4_quarterly,8,2.360896672075202,9.089157104492188,508.32080078125,534.0,2.3607293631300608,9.535582780838013,738.71044921875,772.0,-0.0001673089451412757,0.9531831785632516,230.3896484375,238.0
m4_yearly,8,8.356756018865507,8.564846277236938,508.31787109375,536.0,8.355947072891865,8.965219736099243,738.70751953125,772.0,-0.0008089459736417837,0.9553414784413855,230.3896484375,236.0
m5,8,1.0973088274164127,18.403263807296753,593.10546875,652.0,1.0974179437317217,19.437649488449097,822.3642578125,890.0,0.00010911631530907684,0.9467844256700363,229.2587890625,238.0
monash_australian_electricity,8,1.7400412713174045,0.1206965446472168,559.13427734375,584.0,1.739490717466588,0.1273174285888672,788.8369140625,820.0,-0.000550553850816593,0.9479970337523034,229.70263671875,236.0
monash_car_parts,8,1.1565122520654152,1.0531413555145264,535.86767578125,568.0,1.1567427591806418,1.1106717586517334,765.41162109375,788.0,0.00023050711522665246,0.9482021554171465,229.5439453125,220.0
monash_cif_2016,8,1.5448584090075006,0.08958101272583008,474.998046875,496.0,1.5442067325515376,0.09209752082824707,705.1552734375,732.0,-0.0006516764559629795,0.9726756151546139,230.1572265625,236.0
