radius,kept_mass_mean_ctxQ_all,kept_mass_std_ctxQ_all,n_all,kept_mass_mean_ctxQ_S<128,kept_mass_std_ctxQ_S<128,n_small,kept_mass_mean_ctxQ_S>=128,kept_mass_std_ctxQ_S>=128,n_large
2,0.3321162945893782,0.2572257115955172,27,0.42420243037661337,0.21435307050083816,21,0.009814819334054708,0.00032480434221840004,6
4,0.3933420779067802,0.2862716055318811,27,0.5006881314161143,0.22823184308375563,21,0.01763089062411016,0.0005821941146250303,6
8,0.44170985630219506,0.3023975551508304,27,0.5584356309606757,0.2334514624637256,21,0.033169644997512356,0.0010906404377095632,6
16,0.47873415033698996,0.2961151552402615,27,0.5972657871856827,0.21818178953940795,21,0.06387342136656547,0.00208202972258274,6
32,0.5217026292605292,0.284777382887296,27,0.6353929076160327,0.210596268131948,21,0.1237866550162668,0.003963263537979299,6
64,0.5641405773938444,0.26559949730386306,27,0.6574277455099802,0.2248851633245063,21,0.2376354889873692,0.00731896892017909,6
128,0.6112220105949404,0.22041248998632837,27,0.659736138746793,0.2280281660358542,21,0.4414225620634559,0.012403786608971906,6
